,State,City,Name,Type
0,Delhi,Delhi,India Gate,War Memorial
1,Delhi,Delhi,Humayun's Tomb,Tomb
2,Delhi,Delhi,Akshardham Temple,Temple
3,Delhi,Delhi,Waste to Wonder Park,Theme Park
4,Delhi,Delhi,Jantar Mantar,Observatory
5,Delhi,Delhi,Chandni Chowk,Market
6,Delhi,Delhi,Lotus Temple,Temple
7,Delhi,Delhi,Red Fort,Fort
8,Delhi,Delhi,Agrasen ki Baoli,Stepwell
9,Delhi,Delhi,Sunder Nursery,Park
10,Delhi,Delhi,Garden of Five Senses,Park
11,Delhi,Delhi,Lodhi Garden,Park
12,Delhi,Delhi,National Gallery of Modern Art,Museum
13,Delhi,Delhi,National Zoological Park ,Zoo
14,Delhi,Delhi,Qutub Minar,Monument
15,Delhi,Delhi,National Science Centre,Science
16,Maharastra,Mumbai,Marine Drive,Promenade
17,Maharastra,Mumbai,Gateway of India,Monument
18,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum
19,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park
20,Maharastra,Mumbai,Siddhivinayak Temple,Temple
21,Maharastra,Mumbai,Mahalaxmi Temple,Temple
22,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine
23,Maharastra,Mumbai,Chowpatty Beach,Beach
24,Maharastra,Mumbai,Essel World,Amusement Park
25,Maharastra,Mumbai,Elephanta Caves,Monument
26,Maharastra,Lonavala,Imagicaa,Amusement Park
27,Karnataka,Bangalore,Bangalore Palace,Palace
28,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden
29,Karnataka,Bangalore,Cubbon Park,Park
30,Karnataka,Bangalore,Vidhana Soudha,Government Building
31,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple
32,Telangana,Hyderabad,Charminar,Landmark
33,Telangana,Hyderabad,Golconda Fort,Fort
34,Telangana,Hyderabad,Hussain Sagar Lake,Lake
35,Telangana,Hyderabad,Ramoji Film City,Film Studio
36,Telangana,Hyderabad,Salar Jung Museum,Museum
37,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs
38,Telangana,Hyderabad,Birla Mandir,Temple
39,Telangana,Hyderabad,Chowmahalla Palace,Palace
40,Telangana,Hyderabad,Nehru Zoological Park,Zoo
41,Telangana,Hyderabad,Lumbini Park,Park
42,West Bengal,Kolkata,Victoria Memorial,Museum
43,West Bengal,Kolkata,Howrah Bridge,Bridge
44,West Bengal,Kolkata,Indian Museum,Museum
45,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple
46,West Bengal,Kolkata,Kalighat Kali Temple,Temple
47,West Bengal,Kolkata,Eden Gardens,Cricket Ground
48,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo
49,West Bengal,Kolkata,Science City Kolkata,Science
50,West Bengal,Kolkata,Belur Math,Site
51,West Bengal,Kolkata,Marble Palace,Palace
52,Goa,Goa,Calangute Beach,Beach
53,Goa,Goa,Basilica of Bom Jesus,Church
54,Goa,Goa,Fort Aguada,Fort
55,Goa,Goa,Dudhsagar Falls,Waterfall
56,Goa,Goa,Anjuna Beach,Beach
57,Goa,Goa,Chapora Fort,Fort
58,Goa,Goa,Se Cathedral,Church
59,Goa,Goa,Baga Beach,Beach
60,Goa,Goa,Arambol Beach,Beach
61,Goa,Goa,Palolem Beach,Beach
62,Goa,Goa,Colva Beach,Beach
63,Goa,Goa,Miramar Beach,Beach
64,Goa,Goa,Aguada Beach,Beach
